node,y,x,street_count,highway,ref,geometry,eigenvector_w_bridge,closeness_w_bridge,betweenness_w_bridge,straightness_w_bridge,eigenvector_wo_bridge,closeness_wo_bridge,betweenness_wo_bridge,straightness_wo_bridge
182856462,39.195233,-76.0325101,3,,,POINT (1586529.2139193632 558140.4361969499),2.212167520512983e-11,3.076176864455915e-05,0.06996008565619821,0.7509047646331354,2.212175460835618e-11,3.076176864455915e-05,0.06996008565619821,0.7509047646331354
182856468,39.1994576,-76.0412401,3,,,POINT (1584038.9855604048 559652.9447909865),1.1172411933730323e-11,3.0025123611027008e-05,0.06741617208064289,0.7436891396960779,1.1172531407619667e-11,3.0025123611027008e-05,0.06741617208064289,0.7436891396960779
182856471,39.2050312,-76.0528705,3,,,POINT (1580722.0789141709 561648.4658082571),1.936550875720559e-13,2.9049259465688565e-05,0.006229526765099614,0.73425916978932,1.9375570334097476e-13,2.9049259465688565e-05,0.006229526765099614,0.73425916978932
182856504,39.1387444,-75.9826384,3,,,POINT (1600892.0119360397 537721.0849199092),3.776848108211469e-13,3.780267406429927e-05,0.0005729017473503294,0.8215359902021591,3.7767385230271335e-13,3.780267406429927e-05,0.0005729017473503294,0.8215359902021591
182856523,39.0405179,-76.0647824,1,turning_circle,,POINT (1577960.5521688035 501698.41046543524),9.159937410813982e-18,4.9202449469752725e-05,0.0,0.7861155724516953,2.4438124328678885e-18,4.9202449469752725e-05,0.0,0.7861155724516953
182856527,39.039724,-76.0651931,1,turning_circle,,POINT (1577846.8673833488 501408.0853674039),9.159937410813982e-18,4.915692675554814e-05,0.0,0.7854861808081656,2.4438124328678885e-18,4.915692675554814e-05,0.0,0.7854861808081656
182856536,38.9640693,-76.2163514,3,,,POINT (1535151.1047417899 473451.1076716547),7.888527818277661e-17,4.8027018872602414e-05,0.012435251022071492,0.7849270428590178,6.607395800459716e-17,4.8027018872602414e-05,0.012435251022071492,0.7849270428590178
182856544,38.9652192,-76.2214315,5,,,POINT (1533703.1280572051 473857.5303742676),1.04725586715308e-16,4.761288978921602e-05,0.010833752613146043,0.7832834982596981,1.3968471298721593e-16,4.761288978921602e-05,0.010833752613146043,0.7832834982596981
182856557,39.074888,-76.049617,1,,,POINT (1582137.4549540717 514260.1650745994),4.1003247631461365e-16,4.603231882705961e-05,0.0,0.7866425888892706,4.1306449253504956e-16,4.603231882705961e-05,0.0,0.7866425888892706
182856646,39.0642115,-76.1195896,3,,,POINT (1562311.1279655185 510172.6520872867),1.993944074800763e-17,4.5780464676207606e-05,0.013662803820548788,0.7521689684146046,8.691268287604468e-18,4.5780464676207606e-05,0.013662803820548788,0.7521689684146046
182856728,38.9809134,-76.3080923,3,,,POINT (1509020.1752943066 479374.8018466747),2.9292781627360337e-17,3.996883560208827e-05,0.0005729017473503294,0.7648945367966179,2.355219154483862e-17,3.996883560208827e-05,0.0005729017473503294,0.7648945367966179
182856733,38.9811428,-76.3111608,3,,,POINT (1508147.28947787 479451.7513750408),2.522992949431925e-17,3.988624275702992e-05,0.06786940466644067,0.7762167661261405,1.187472678732145e-17,3.988624275702992e-05,0.06786940466644067,0.7762167661261405
182856742,38.982322,-76.3134117,3,,,POINT (1507504.217899968 479876.38882286864),6.238924622032238e-17,3.962657563613306e-05,0.00341451082973081,0.7794803597772664,3.921304001117903e-17,3.962657563613306e-05,0.00341451082973081,0.7794803597772664
182856751,38.9464533,-76.2833685,1,,,POINT (1516146.7055618295 466878.93336534384),1.3317764584742762e-17,3.7823802130964725e-05,0.0,0.6874259393224132,7.35365125610513e-18,3.7823802130964725e-05,0.0,0.6874259393224132
182856784,39.0462219,-76.1194898,4,,,POINT (1562402.6587590873 503621.23454897484),1.746191670642365e-17,4.756019091972153e-05,0.0017182127763655868,0.7461999424256769,6.6614846281100775e-18,4.756019091972153e-05,0.0017182127763655868,0.7461999424256769
