node,y,x,street_count,highway,ref,geometry,betweenness_w_bridge,betweenness_wo_bridge,closeness_w_bridge,closeness_wo_bridge,eigenvector_w_bridge,eigenvector_wo_bridge,straightness_w_bridge,straightness_wo_bridge
182805471,39.0122605,-76.0758983,3,,,POINT (1574907.6283616496 491375.21840872546),0.0367138913899761,0.0367138913899761,5.163074874687179e-05,5.163074874687179e-05,-1.0887940907117391e-16,-1.0887940907117391e-16,0.8267253038036125,0.8267253038036125
182805590,38.963081,-76.1559515,3,,,POINT (1552327.6458461892 473244.28616009734),0.0068575846692149,0.0068575846692149,4.58109786459564e-05,4.58109786459564e-05,-2.09225353448514e-18,-2.09225353448514e-18,0.70212322887745,0.70212322887745
182805611,39.1714293,-75.8889354,1,,,POINT (1627323.2021422721 549934.4933533949),0.0,0.0,3.017616171015313e-05,3.017616171015313e-05,1.2637004999768768e-05,1.2637004999768768e-05,0.8202750006740822,0.8202750006740822
182805640,38.8692322,-76.1996396,3,,,POINT (1540205.5179738877 438954.0009088562),0.0011456393394721,0.0011456393394721,3.246172782804309e-05,3.246172782804309e-05,-1.0561722741212596e-18,-1.0561722741212596e-18,0.7136923778287263,0.7136923778287263
182805692,39.2431299,-75.9077186,1,,,POINT (1621685.9169521674 575983.4430928782),0.0,0.0,2.658440233959681e-05,2.658440233959681e-05,3.143975395006729e-09,3.143975395006729e-09,0.8281253301188138,0.8281253301188138
182805737,39.1876779,-76.0445925,1,,,POINT (1583133.878341491 555352.785644203),0.0,0.0,2.870356335888728e-05,2.870356335888728e-05,1.2431948066864952e-13,1.2431948066864952e-13,0.6769333435215251,0.6769333435215251
182805764,38.9150748,-76.1505557,3,,,POINT (1554024.510059471 455775.34996166104),0.0040034177118566,0.0040034177118566,3.652662220627022e-05,3.652662220627022e-05,1.4683585949029891e-18,1.4683585949029891e-18,0.6589583512130012,0.6589583512130012
182805767,38.9147561,-76.1501472,3,,,POINT (1554141.81687481 455660.3663240706),0.0034324858272479,0.0034324858272479,3.650735251741371e-05,3.650735251741371e-05,-1.0512874471494069e-18,-1.0512874471494069e-18,0.6596368699103382,0.6596368699103382
182805793,38.973144,-76.1501945,1,,,POINT (1553930.406563632 476924.2929208628),0.0,0.0,4.805755160249395e-05,4.805755160249395e-05,6.813418187075507e-19,6.813418187075507e-19,0.7331406539899004,0.7331406539899004
182805879,38.9637131,-76.1982589,4,,,POINT (1540296.4081788934 473366.0533762474),0.0236665875985649,0.0236665875985649,4.9878449307329887e-05,4.9878449307329887e-05,-2.773720022460875e-17,-2.773720022460875e-17,0.7839435071699955,0.7839435071699955
182805918,39.1784742,-75.9528679,3,,,POINT (1609169.585409965 552285.9731371361),0.0597321479137101,0.0597321479137101,3.3373304565704505e-05,3.3373304565704505e-05,3.2752407866879596e-10,3.2752407866879596e-10,0.830574985743673,0.830574985743673
182805928,39.1694591,-75.9255696,3,,,POINT (1616946.2591681075 549092.6344307329),0.0197333462468779,0.0197333462468779,3.254056118377857e-05,3.254056118377857e-05,2.877839658963533e-10,2.877839658963533e-10,0.8277570743278312,0.8277570743278312
182805929,39.1709717,-75.9265247,1,turning_circle,,POINT (1616669.012577651 549640.3305674979),0.0,0.0,3.2341241759266524e-05,3.2341241759266524e-05,2.8621018083950638e-11,2.8621018083950638e-11,0.8207047420501766,0.8207047420501766
182805954,39.0774046,-75.9359018,3,,,POINT (1614407.909229867 515532.8693393993),0.0156028723881877,0.0156028723881877,3.809653102408082e-05,3.809653102408082e-05,5.1551791892481745e-11,5.1551791892481745e-11,0.8292948579394044,0.8292948579394044
182805955,39.0798368,-75.937649,1,turning_circle,,POINT (1613901.6316808255 516412.86941099307),0.0,0.0,3.7647277983554714e-05,3.7647277983554714e-05,5.1269890224128606e-12,5.1269890224128606e-12,0.8114769617202608,0.8114769617202608
182806161,38.9610966,-76.2041237,3,,,POINT (1538637.194823023 472398.5606424028),0.0136992462812684,0.0136992462812684,4.8928374509578714e-05,4.8928374509578714e-05,-4.563713129562737e-18,-4.563713129562737e-18,0.795877798490265,0.795877798490265
182806191,39.0835763,-75.9581929,1,turning_circle,,POINT (1608054.5842455104 517707.5434430354),0.0,0.0,3.8665362600141e-05,3.8665362600141e-05,5.388327671186167e-14,5.388327671186167e-14,0.7874605326074375,0.7874605326074375
182806208,39.0298211,-76.0921432,3,,,POINT (1570228.3625500272 497724.2887023391),0.1224119491873905,0.1224119491873905,5.080666949466059e-05,5.080666949466059e-05,-3.134987423732962e-17,-3.134987423732962e-17,0.792323995214032,0.792323995214032
182806265,38.9911576,-76.1419164,4,traffic_signals,,POINT (1556222.1029865777 483506.6513077029),0.114336168567721,0.114336168567721,5.2919248109339205e-05,5.2919248109339205e-05,7.87166904627429e-18,7.87166904627429e-18,0.8197202136830447,0.8197202136830447
182806268,38.9943545,-76.1424298,3,,,POINT (1556065.2489721975 484669.5565088601),0.1601375292504097,0.1601375292504097,5.245820984926064e-05,5.245820984926064e-05,2.0029923151208813e-17,2.0029923151208813e-17,0.8125690911734706,0.8125690911734706
182806308,39.132688,-76.0606882,3,,,POINT (1578777.9662326972 535278.109222515),0.0030163523230837,0.0030163523230837,3.790573789913467e-05,3.790573789913467e-05,4.7685690912662955e-18,4.7685690912662955e-18,0.7509936599591525,0.7509936599591525
182806309,39.1346529,-76.0663063,3,,,POINT (1577177.079204854 535977.3732838373),0.001688172369556,0.001688172369556,3.730797683630396e-05,3.730797683630396e-05,3.414596212063678e-19,3.414596212063678e-19,0.7420284322480555,0.7420284322480555
182806347,39.0327843,-76.0494712,3,,,POINT (1582338.5105612515 498926.83526426984),0.0152703759729275,0.0152703759729275,4.693281991284468e-05,4.693281991284468e-05,1.0438589549721803e-17,1.0438589549721803e-17,0.8010806775001766,0.8010806775001766
182806414,38.9598421,-76.1566525,3,,,POINT (1552139.2291434342 472062.8774546668),0.0022901295923451,0.0022901295923451,4.499978229573241e-05,4.499978229573241e-05,-2.428828205354995e-18,-2.428828205354995e-18,0.6924829254809337,0.6924829254809337
182806463,39.1118563,-75.9589581,3,,,POINT (1607719.9322845289 528004.3619974353),0.000696510634386,0.000696510634386,3.8225246691035927e-05,3.8225246691035927e-05,1.5003421288706652e-10,1.5003421288706652e-10,0.8174121815209587,0.8174121815209587
182806488,39.0853838,-75.9376825,3,,,POINT (1613868.6131783293 518432.90863063675),0.0035808821537822,0.0035808821537822,3.715541059513607e-05,3.715541059513607e-05,3.0488610277419505e-10,3.0488610277419505e-10,0.8085820946540846,0.8085820946540846
182806489,39.0888674,-75.9320662,1,,,POINT (1615447.8631448976 519720.1939623443),0.0,0.0,3.6342717238551536e-05,3.6342717238551536e-05,1.1797599393211189e-11,1.1797599393211189e-11,0.7989766554081398,0.7989766554081398
182806614,39.04953,-76.0560623,1,,,POINT (1580403.2652981007 505006.0176339159),0.0,0.0,4.852080763103124e-05,4.852080763103124e-05,1.6836766848076369e-18,1.6836766848076369e-18,0.792765620033217,0.792765620033217
