home,work,flow,home_node,work_node
24003702204,24003702204,145.0,102579191.0,102579191.0
24003702204,24003702205,10.0,102579191.0,102621587.0
24003702204,24003702208,4.0,102579191.0,102656842.0
24003702204,24003702209,10.0,102579191.0,1644764415.0
24003702204,24003702300,95.0,102579191.0,2581953485.0
24003702204,24003702402,85.0,102579191.0,298042789.0
24003702204,24003702701,10.0,102579191.0,452085434.0
24003702204,24003706101,10.0,102579191.0,102566166.0
24003702204,24003706302,10.0,102579191.0,102639717.0
24003702204,24003706500,15.0,102579191.0,102591787.0
24003702204,24003706600,20.0,102579191.0,102617229.0
24003702204,24003707002,10.0,102579191.0,102635877.0
24003702204,24003730402,10.0,102579191.0,102574983.0
24003702204,24003730504,10.0,102579191.0,102636559.0
24003702204,24003730601,10.0,102579191.0,102576280.0
24003702204,24003730604,10.0,102579191.0,3127053810.0
24003702204,24003730902,10.0,102579191.0,102624675.0
24003702204,24003731105,10.0,102579191.0,102562534.0
24003702204,24003740102,10.0,102579191.0,102570587.0
24003702204,24003740601,20.0,102579191.0,11449905096.0
24003702204,24003740603,50.0,102579191.0,102587365.0
24003702204,24003740702,10.0,102579191.0,4707483807.0
24003702204,24003741000,10.0,102579191.0,102597505.0
24003702204,24003750801,45.0,102579191.0,102629671.0
24003702204,24003751000,10.0,102579191.0,102603743.0
24003702204,24003751200,45.0,102579191.0,33154781.0
24003702204,24003751400,4.0,102579191.0,102659137.0
24003702204,24003751500,10.0,102579191.0,666085667.0
24003702204,24005402603,10.0,102579191.0,37680261.0
24003702204,24005492500,20.0,102579191.0,367082129.0
24003702204,24027601203,10.0,102579191.0,37184200.0
24003702204,24027605102,10.0,102579191.0,37186575.0
24003702204,24027605402,20.0,102579191.0,1599064071.0
24003702204,24027605602,10.0,102579191.0,37251416.0
24003702204,24027606707,10.0,102579191.0,37186145.0
24003702204,24027606905,20.0,102579191.0,37187250.0
24003702204,24510040200,20.0,102579191.0,49478028.0
24003702204,24510060400,15.0,102579191.0,49525674.0
24003702204,24510110100,10.0,102579191.0,49469482.0
24003702204,24510200200,10.0,102579191.0,49536839.0
24003702204,24510270701,10.0,102579191.0,49559781.0
24003702205,24003701300,15.0,102621587.0,102628342.0
24003702205,24003702100,15.0,102621587.0,3106126336.0
24003702205,24003702204,35.0,102621587.0,102579191.0
24003702205,24003702205,205.0,102621587.0,102621587.0
24003702205,24003702300,10.0,102621587.0,2581953485.0
24003702205,24003702402,95.0,102621587.0,298042789.0
24003702205,24003702701,55.0,102621587.0,452085434.0
24003702205,24003706101,15.0,102621587.0,102566166.0
24003702205,24003706302,15.0,102621587.0,102639717.0
24003702205,24003706500,20.0,102621587.0,102591787.0
24003702205,24003707002,15.0,102621587.0,102635877.0
24003702205,24003730504,15.0,102621587.0,102636559.0
24003702205,24003740102,15.0,102621587.0,102570587.0
24003702205,24003740304,15.0,102621587.0,4717768057.0
24003702205,24003740601,50.0,102621587.0,11449905096.0
24003702205,24003740602,50.0,102621587.0,994213016.0
24003702205,24003740603,60.0,102621587.0,102587365.0
24003702205,24003740702,20.0,102621587.0,4707483807.0
24003702205,24003740800,80.0,102621587.0,3412132820.0
24003702205,24003750801,30.0,102621587.0,102629671.0
24003702205,24003751200,4.0,102621587.0,33154781.0
24003702205,24003751400,15.0,102621587.0,102659137.0
24003702205,24005401506,10.0,102621587.0,37687560.0
24003702205,24005408400,10.0,102621587.0,37285916.0
24003702205,24005408602,15.0,102621587.0,37609165.0
24003702205,24005430400,25.0,102621587.0,37358646.0
24003702205,24027601204,10.0,102621587.0,1836773749.0
24003702205,24027602100,15.0,102621587.0,37186780.0
24003702205,24027606706,20.0,102621587.0,37053838.0
24003702205,24035811000,15.0,102621587.0,182810244.0
24003702205,24510020300,15.0,102621587.0,2303798813.0
24003702205,24510040200,20.0,102621587.0,49478028.0
24003702205,24510060400,40.0,102621587.0,49525674.0
24003702205,24510170200,20.0,102621587.0,49475657.0
24003702206,24003701400,25.0,102560739.0,102580038.0
24003702206,24003702204,15.0,102560739.0,102579191.0
24003702206,24003702205,50.0,102560739.0,102621587.0
24003702206,24003702206,145.0,102560739.0,102560739.0
24003702206,24003702209,10.0,102560739.0,1644764415.0
24003702206,24003702300,130.0,102560739.0,2581953485.0
24003702206,24003702402,50.0,102560739.0,298042789.0
24003702206,24003702500,160.0,102560739.0,102643551.0
24003702206,24003702601,10.0,102560739.0,2106570375.0
24003702206,24003702602,15.0,102560739.0,102595461.0
24003702206,24003702701,55.0,102560739.0,452085434.0
24003702206,24003702702,25.0,102560739.0,102619363.0
24003702206,24003706101,15.0,102560739.0,102566166.0
24003702206,24003706301,10.0,102560739.0,4335780024.0
24003702206,24003706401,15.0,102560739.0,3641449705.0
24003702206,24003706500,10.0,102560739.0,102591787.0
24003702206,24003706600,35.0,102560739.0,102617229.0
24003702206,24003730100,15.0,102560739.0,5468494815.0
24003702206,24003730502,15.0,102560739.0,102601086.0
24003702206,24003730506,45.0,102560739.0,102551053.0
24003702206,24003730601,4.0,102560739.0,102576280.0
24003702206,24003730902,15.0,102560739.0,102624675.0
24003702206,24003731103,30.0,102560739.0,671848362.0
24003702206,24003740102,20.0,102560739.0,102570587.0
24003702206,24003740304,10.0,102560739.0,4717768057.0
24003702206,24003740500,15.0,102560739.0,498675923.0
24003702206,24003740601,50.0,102560739.0,11449905096.0
24003702206,24003740602,70.0,102560739.0,994213016.0
24003702206,24003740603,35.0,102560739.0,102587365.0
24003702206,24003740702,40.0,102560739.0,4707483807.0
24003702206,24003750300,15.0,102560739.0,102639559.0
24003702206,24003750801,15.0,102560739.0,102629671.0
24003702206,24003751200,100.0,102560739.0,33154781.0
24003702206,24003751500,20.0,102560739.0,666085667.0
24003702206,24003751600,20.0,102560739.0,102650729.0
24003702206,24003751700,15.0,102560739.0,3165813725.0
24003702206,24003980000,10.0,102560739.0,7386174054.0
24003702206,24005403402,15.0,102560739.0,37561313.0
24003702206,24005403701,15.0,102560739.0,37802838.0
24003702206,24005440701,30.0,102560739.0,973408154.0
24003702206,24005440702,15.0,102560739.0,1015168609.0
24003702206,24027601105,55.0,102560739.0,37227399.0
24003702206,24027601203,40.0,102560739.0,37184200.0
24003702206,24027602303,10.0,102560739.0,37202424.0
24003702206,24027605102,50.0,102560739.0,37186575.0
24003702206,24027606705,10.0,102560739.0,37177922.0
24003702206,24027606707,40.0,102560739.0,37186145.0
24003702206,24027606804,20.0,102560739.0,10207665811.0
24003702206,24027606901,20.0,102560739.0,847712940.0
24003702206,24027606904,50.0,102560739.0,37202666.0
24003702206,24027606905,85.0,102560739.0,37187250.0
24003702206,24510030200,20.0,102560739.0,49512386.0
24003702206,24510040100,20.0,102560739.0,288278897.0
24003702206,24510040200,20.0,102560739.0,49478028.0
24003702206,24510130700,20.0,102560739.0,49440221.0
24003702206,24510220100,25.0,102560739.0,49456207.0
24003702206,24510280500,30.0,102560739.0,49503976.0
24003702208,24003701102,15.0,102656842.0,102598366.0
24003702208,24003701300,50.0,102656842.0,102628342.0
24003702208,24003701400,15.0,102656842.0,102580038.0
24003702208,24003702204,30.0,102656842.0,102579191.0
24003702208,24003702206,25.0,102656842.0,102560739.0
24003702208,24003702208,200.0,102656842.0,102656842.0
24003702208,24003702300,45.0,102656842.0,2581953485.0
24003702208,24003702402,45.0,102656842.0,298042789.0
24003702208,24003702500,15.0,102656842.0,102643551.0
